Designator,Mid X,Mid Y,Layer,Rotation
D1,72.07651,-75.84751,T,90.0
D1,52.076501,-75.84751,T,90.0
D1,72.07651,-57.347501,T,90.0
D1,52.076501,-57.347501,T,90.0
J1,78.99801,-72.16451,T,180.0
J1,58.998001,-72.16451,T,180.0
J1,78.99801,-53.664501,T,180.0
J1,58.998001,-53.664501,T,180.0
J2,78.99801,-81.94351,T,0.0
J2,58.998001,-81.94351,T,0.0
J2,78.99801,-63.443501,T,0.0
J2,58.998001,-63.443501,T,0.0
L1,86.11001,-75.91101,T,90.0
L1,66.110001,-75.91101,T,90.0
L1,86.11001,-57.411001,T,90.0
L1,66.110001,-57.411001,T,90.0
R1,74.23551,-79.40351,T,90.0
R1,54.235501,-79.40351,T,90.0
R1,74.23551,-60.903501,T,90.0
R1,54.235501,-60.903501,T,90.0
R2,83.76051,-79.40351,T,90.0
R2,63.760501,-79.40351,T,90.0
R2,83.76051,-60.903501,T,90.0
R2,63.760501,-60.903501,T,90.0
